JobID|JobName|State|ExitCode|Elapsed|NodeList|AllocTRES
6182712_12.batch|batch|COMPLETED|0:0|00:00:19|qgpu0405|cpu=4,gres/gpu=1,mem=16G,node=1
6182712_12.extern|extern|COMPLETED|0:0|00:00:19|qgpu0405|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182712_13|pro-e2-factorial|COMPLETED|0:0|00:00:21|qgpu0408|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182712_13.batch|batch|COMPLETED|0:0|00:00:21|qgpu0408|cpu=4,gres/gpu=1,mem=16G,node=1
6182712_13.extern|extern|COMPLETED|0:0|00:00:23|qgpu0408|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182712_14|pro-e2-factorial|COMPLETED|0:0|00:00:19|qgpu0203|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182712_14.batch|batch|COMPLETED|0:0|00:00:19|qgpu0203|cpu=4,gres/gpu=1,mem=16G,node=1
6182712_14.extern|extern|COMPLETED|0:0|00:00:19|qgpu0203|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182712_15|pro-e2-factorial|COMPLETED|0:0|00:00:19|qgpu0405|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182712_15.batch|batch|COMPLETED|0:0|00:00:19|qgpu0405|cpu=4,gres/gpu=1,mem=16G,node=1
6182712_15.extern|extern|COMPLETED|0:0|00:00:19|qgpu0405|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182712_16|pro-e2-factorial|COMPLETED|0:0|00:00:18|qgpu0203|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182712_16.batch|batch|COMPLETED|0:0|00:00:18|qgpu0203|cpu=4,gres/gpu=1,mem=16G,node=1
6182712_16.extern|extern|COMPLETED|0:0|00:00:18|qgpu0203|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182712_17|pro-e2-factorial|COMPLETED|0:0|00:00:18|qgpu0405|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182712_17.batch|batch|COMPLETED|0:0|00:00:18|qgpu0405|cpu=4,gres/gpu=1,mem=16G,node=1
6182712_17.extern|extern|COMPLETED|0:0|00:00:18|qgpu0405|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182712_18|pro-e2-factorial|COMPLETED|0:0|00:00:18|qgpu0408|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182712_18.batch|batch|COMPLETED|0:0|00:00:18|qgpu0408|cpu=4,gres/gpu=1,mem=16G,node=1
6182712_18.extern|extern|COMPLETED|0:0|00:00:18|qgpu0408|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182712_19|pro-e2-factorial|COMPLETED|0:0|00:00:21|qgpu0203|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182712_19.batch|batch|COMPLETED|0:0|00:00:21|qgpu0203|cpu=4,gres/gpu=1,mem=16G,node=1
6182712_19.extern|extern|COMPLETED|0:0|00:00:21|qgpu0203|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182821|pro-e3-independent-data|COMPLETED|0:0|00:06:19|qnode0167|billing=36,cpu=8,mem=16G,node=1
6182821.batch|batch|COMPLETED|0:0|00:06:19|qnode0167|cpu=8,mem=16G,node=1
6182821.extern|extern|COMPLETED|0:0|00:06:19|qnode0167|billing=36,cpu=8,mem=16G,node=1
6182822_0|pro-e3-certify|COMPLETED|0:0|00:00:43|qgpu0402|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182822_0.batch|batch|COMPLETED|0:0|00:00:43|qgpu0402|cpu=4,gres/gpu=1,mem=16G,node=1
6182822_0.extern|extern|COMPLETED|0:0|00:00:43|qgpu0402|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182822_1|pro-e3-certify|COMPLETED|0:0|00:00:43|qgpu0207|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182822_1.batch|batch|COMPLETED|0:0|00:00:43|qgpu0207|cpu=4,gres/gpu=1,mem=16G,node=1
6182822_1.extern|extern|COMPLETED|0:0|00:00:43|qgpu0207|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182822_2|pro-e3-certify|COMPLETED|0:0|00:00:36|qgpu0401|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182822_2.batch|batch|COMPLETED|0:0|00:00:36|qgpu0401|cpu=4,gres/gpu=1,mem=16G,node=1
6182822_2.extern|extern|COMPLETED|0:0|00:00:36|qgpu0401|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182822_3|pro-e3-certify|COMPLETED|0:0|00:00:18|qgpu0207|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182822_3.batch|batch|COMPLETED|0:0|00:00:18|qgpu0207|cpu=4,gres/gpu=1,mem=16G,node=1
6182822_3.extern|extern|COMPLETED|0:0|00:00:18|qgpu0207|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182822_4|pro-e3-certify|COMPLETED|0:0|00:00:18|qgpu0401|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182822_4.batch|batch|COMPLETED|0:0|00:00:18|qgpu0401|cpu=4,gres/gpu=1,mem=16G,node=1
6182822_4.extern|extern|COMPLETED|0:0|00:00:18|qgpu0401|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182824|pro-e3-gate|COMPLETED|0:0|00:01:09|qnode0361|billing=18,cpu=4,mem=16G,node=1
6182824.batch|batch|COMPLETED|0:0|00:01:09|qnode0361|cpu=4,mem=16G,node=1
6182824.extern|extern|COMPLETED|0:0|00:01:09|qnode0361|billing=18,cpu=4,mem=16G,node=1
6182974|pro-final-verification|COMPLETED|0:0|00:01:36|qnode0133|billing=20,cpu=4,mem=20G,node=1
6182974.batch|batch|COMPLETED|0:0|00:01:36|qnode0133|cpu=4,mem=20G,node=1
6182974.extern|extern|COMPLETED|0:0|00:01:36|qnode0133|billing=20,cpu=4,mem=20G,node=1
